,SP500,Div,Earning,CPI,Rate10y,TB3MS,gold,bondTR,eqTR,gldTR,tbTR,cpiTR
1979-01-01,99.71,5.11333,12.6533,68.3,0.091,0.0935,226.0,1.0015992322523473,1.041730581916323,1.1685625646328852,1.0075666666666667,1.0088626292466765
1979-02-01,98.23,5.15667,12.9767,69.1,0.091,0.0932,233.7,1.0075833333333333,0.9895316115886025,1.034070796460177,1.0077916666666666,1.0117130307467057
1979-03-01,100.1,5.2,13.3,69.8,0.09119999999999999,0.09480000000000001,251.3,1.006271315745828,1.0233659584163501,1.0753102267864785,1.0077666666666667,1.0101302460202606
1979-04-01,102.1,5.24667,13.5267,70.6,0.09179999999999999,0.0946,241.5,1.0036739665146168,1.0242623167478946,0.9610027855153203,1.0079,1.011461318051576
1979-05-01,99.73,5.29333,13.7533,71.5,0.0925,0.09609999999999999,245.3,1.0030832107389458,0.9812105138411747,1.0157349896480332,1.0078833333333332,1.0127478753541077
1979-06-01,101.7,5.34,13.98,72.3,0.0891,0.0906,274.6,1.0302130019339983,1.0241289485544105,1.11944557684468,1.0080083333333334,1.0111888111888112
1979-07-01,102.7,5.39667,14.1967,73.1,0.0895,0.0924,275.9,1.0047819054687859,1.01421183390157,1.0047341587764018,1.00755,1.0110650069156293
1979-08-01,107.4,5.45333,14.4133,73.8,0.09029999999999999,0.09519999999999999,296.45,1.0021901320354079,1.0499956859320387,1.0744835085175788,1.0077,1.009575923392613
1979-09-01,108.6,5.51,14.63,74.6,0.0933,0.1026,315.1,0.9880192708346631,1.0154012383784135,1.062911114859167,1.0079333333333333,1.010840108401084
1979-10-01,104.5,5.55667,14.7067,75.2,0.10300000000000001,0.11699999999999999,395.5,0.9472212865778711,0.9666779334637448,1.2551570929863534,1.00855,1.0080428954423593
1979-11-01,103.7,5.60333,14.7833,75.9,0.1065,0.11789999999999999,382.0,0.9870485679970449,0.9968473343161094,0.965865992414665,1.00975,1.009308510638298
1979-12-01,107.8,5.65,14.86,76.7,0.1039,0.1204,415.65,1.0250453405687179,1.0439047824793106,1.088089005235602,1.009825,1.0105401844532278
1980-01-01,110.9,5.7,15.0033,77.8,0.10800000000000001,0.12,524.0,0.9835874227328171,1.0330400952905139,1.2606760495609288,1.0100333333333333,1.014341590612777
1980-02-01,115.3,5.75,15.1467,78.9,0.1241,0.1286,653.0,0.9167713872012614,1.043831208611192,1.2461832061068703,1.01,1.01413881748072
1980-03-01,104.7,5.8,15.29,80.1,0.1275,0.152,637.0,0.9911264924859042,0.9126822792195546,0.9754977029096478,1.0107166666666667,1.015209125475285
1980-04-01,103.0,5.84667,15.1733,81.0,0.11470000000000001,0.132,494.5,1.0867790736135492,0.988493448294248,0.7762951334379906,1.0126666666666666,1.0112359550561798
1980-05-01,107.7,5.89333,15.0567,81.8,0.1018,0.0858,518.0,1.0904916595883043,1.0501910571286055,1.0475227502527806,1.011,1.0098765432098764
1980-06-01,114.6,5.94,14.94,82.7,0.0978,0.0707,535.5,1.0340022506269135,1.0683862240954367,1.0337837837837838,1.00715,1.011002444987775
