Date,SP500,Div,Earning,CPI,Rate10y,cpiTR,eqTR,bondTR
1871-01-15,4.44,0.26,0.4,12.46406116,0.053200000000000004,,,
1871-02-15,4.5,0.26,0.4,12.84464132,0.053233333333333334,1.0305342019037396,1.0183283283283282,1.0041748694379986
1871-03-15,4.61,0.26,0.4,13.0349719,0.05326666666666667,1.014817897616467,1.0291443721378646,1.0041776864849437
1871-04-15,4.74,0.26,0.4,12.55922645,0.0533,0.9635023800856832,1.032770592883446,1.0041805035235638
1871-05-15,4.86,0.26,0.4,12.27381157,0.05333333333333334,0.977274485722805,1.0297746175617717,1.0041833205538604
1871-06-15,4.82,0.26,0.4,12.08348099,0.053366666666666666,0.9844929524203214,0.9962647063845773,1.004186137575836
1871-07-15,4.73,0.26,0.4,12.08348099,0.053399999999999996,1.0,0.9859084914570778,1.0041889545894926
1871-08-15,4.79,0.26,0.4,11.8932314,0.05343333333333334,0.9842553987416832,1.017208301885682,1.004191771594832
1871-09-15,4.84,0.26,0.4,12.17864628,0.053466666666666676,1.0239980935711048,1.0149149973832077,1.0041945885918566
1871-10-15,4.59,0.26,0.4,12.36889587,0.053500000000000006,1.0156215712014258,0.9530675141192075,1.004197405580568
1871-11-15,4.64,0.26,0.4,12.36889587,0.053533333333333336,1.0,1.015562786417249,1.0042002225609683
1871-12-15,4.74,0.26,0.4,12.65439174,0.053566666666666665,1.0230817587115801,1.0261227508608566,1.0042030395330597
1872-01-15,4.86,0.2633,0.4025,12.65439174,0.0536,1.0,1.0298312019239115,1.004205856496844
1872-02-15,4.88,0.2667,0.405,12.65439174,0.05378333333333333,1.0,1.008669529616137,1.003048673070934
1872-03-15,5.04,0.27,0.4075,12.84464132,0.05396666666666666,1.015034272994618,1.0372511709601875,1.003065134029333
1872-04-15,5.18,0.2733,0.41,13.13013719,0.05415000000000001,1.0222268464247004,1.0321744959244958,1.0030815936096813
1872-05-15,5.18,0.2767,0.4125,13.13013719,0.05433333333333334,1.0,1.0044514157014157,1.003098051813819
1872-06-15,5.13,0.28,0.415,13.0349719,0.054516666666666665,0.9927521480832296,0.9948958984046704,1.0031145086435835
1872-07-15,5.1,0.2833,0.4175,12.84464132,0.054700000000000006,0.9853984664132647,0.998781131750946,1.0031309641008095
1872-08-15,5.04,0.2867,0.42,12.93980661,0.05488333333333333,1.0074089488082334,0.9929757041705571,1.0031474181873294
1872-09-15,4.95,0.29,0.4225,13.0349719,0.05506666666666667,1.0073544599906505,0.9870250120250121,1.0031638709049724
1872-10-15,4.97,0.2933,0.425,12.74947603,0.055249999999999994,0.9780976996198971,1.0089582444159908,1.0031803222555655
1872-11-15,4.95,0.2967,0.4275,13.13013719,0.05543333333333333,1.0298570042489816,1.0009708046257342,1.0031967722409327
1872-12-15,5.07,0.3,0.43,12.93980661,0.05561666666666667,0.9855042961664592,1.029173390711852,1.003213220862896
